Trial:     815,,Trajectory,,Snake ID: 29,,Mass: 63 g,,SVL: 83 cm,,Tail: 29 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,-0.07,1.34,9.68,0.00,1.14,9.63,0.04,0.91,9.63
3,0.033,-0.07,1.39,9.67,-0.01,1.19,9.63,0.03,0.95,9.65
5,0.067,-0.07,1.44,9.64,-0.03,1.23,9.61,0.00,0.99,9.65
7,0.100,-0.06,1.48,9.61,-0.04,1.28,9.58,-0.02,1.04,9.63
9,0.133,-0.06,1.52,9.58,-0.06,1.34,9.55,-0.03,1.09,9.61
11,0.167,-0.06,1.57,9.54,-0.07,1.39,9.50,-0.05,1.15,9.57
13,0.200,-0.06,1.61,9.49,-0.09,1.45,9.45,-0.06,1.20,9.53
15,0.234,-0.06,1.66,9.43,-0.10,1.51,9.40,-0.08,1.26,9.48
17,0.267,-0.07,1.71,9.37,-0.11,1.56,9.34,-0.10,1.33,9.42
19,0.300,-0.07,1.76,9.29,-0.13,1.62,9.27,-0.12,1.40,9.35
21,0.334,-0.07,1.81,9.21,-0.16,1.67,9.21,-0.14,1.47,9.28
23,0.367,-0.08,1.86,9.12,-0.18,1.73,9.14,-0.16,1.55,9.19
25,0.400,-0.08,1.92,9.02,-0.21,1.80,9.06,-0.19,1.64,9.10
27,0.434,-0.09,1.98,8.93,-0.23,1.89,8.94,-0.21,1.73,9.00
29,0.467,-0.10,2.04,8.83,-0.24,1.98,8.83,-0.23,1.83,8.90
31,0.501,-0.11,2.11,8.72,-0.24,2.06,8.72,-0.24,1.92,8.77
33,0.534,-0.12,2.18,8.60,-0.24,2.14,8.61,-0.24,2.01,8.65
35,0.567,-0.12,2.26,8.49,-0.23,2.23,8.50,-0.24,2.09,8.53
37,0.601,-0.13,2.35,8.37,-0.23,2.32,8.39,-0.24,2.18,8.40
39,0.634,-0.14,2.43,8.26,-0.22,2.40,8.27,-0.24,2.27,8.28
41,0.667,-0.15,2.53,8.14,-0.22,2.49,8.15,-0.25,2.37,8.14
43,0.701,-0.16,2.63,8.00,-0.20,2.58,8.01,-0.27,2.49,7.99
45,0.734,-0.16,2.74,7.85,-0.19,2.67,7.87,-0.29,2.62,7.84
47,0.767,-0.16,2.86,7.70,-0.17,2.77,7.72,—,—,—
49,0.801,-0.17,2.98,7.54,-0.15,2.89,7.55,—,—,—
51,0.834,-0.17,3.12,7.38,-0.13,3.01,7.38,-0.32,3.04,7.35
53,0.868,-0.17,3.24,7.23,-0.11,3.14,7.21,-0.32,3.17,7.21
55,0.901,-0.15,3.37,7.07,-0.10,3.26,7.06,-0.32,3.29,7.07
57,0.934,-0.13,3.51,6.90,-0.07,3.41,6.89,—,—,—
59,0.968,-0.11,3.65,6.73,-0.05,3.55,6.72,—,—,—
61,1.001,-0.09,3.79,6.56,-0.03,3.71,6.54,-0.31,3.73,6.50
63,1.034,-0.08,3.94,6.38,-0.02,3.87,6.36,-0.29,3.87,6.30
65,1.068,-0.07,4.10,6.20,-0.03,4.02,6.19,-0.26,4.01,6.10
67,1.101,-0.06,4.27,6.01,-0.04,4.18,6.01,-0.22,4.16,5.89
69,1.134,-0.04,4.44,5.83,-0.05,4.32,5.85,-0.18,4.31,5.68
71,1.168,-0.03,4.60,5.65,-0.06,4.48,5.66,-0.14,4.47,5.49
73,1.201,-0.01,4.78,5.45,-0.08,4.65,5.47,-0.10,4.65,5.29
75,1.235,0.01,5.00,5.21,-0.10,4.85,5.25,-0.05,4.83,5.07
77,1.268,0.02,5.17,5.02,-0.11,5.06,5.02,-0.01,5.00,4.88
79,1.301,0.04,5.38,4.79,-0.11,5.28,4.80,0.04,5.21,4.64
81,1.335,0.05,5.58,4.57,-0.11,5.53,4.57,0.10,5.43,4.42
83,1.368,0.07,5.79,4.35,-0.08,5.77,4.31,0.16,5.61,4.25
85,1.401,0.09,6.04,4.10,-0.04,6.00,4.06,0.18,5.83,4.07
87,1.435,0.11,6.26,3.89,0.01,6.24,3.81,0.20,6.06,3.85
89,1.468,0.13,6.49,3.68,0.06,6.45,3.60,0.21,6.31,3.65
91,1.502,0.16,6.76,3.43,0.11,6.68,3.37,0.23,6.59,3.39
93,1.535,0.18,6.99,3.22,0.17,6.90,3.16,0.24,6.82,3.20
95,1.568,—,—,—,0.23,7.14,2.93,—,—,—
97,1.602,0.23,7.52,2.75,0.29,7.41,2.69,—,—,—
99,1.635,0.25,7.77,2.54,0.35,7.66,2.48,—,—,—
101,1.668,0.28,8.02,2.34,0.41,7.95,2.25,—,—,—
103,1.702,0.31,8.28,2.13,0.46,8.24,2.04,—,—,—
105,1.735,0.34,8.63,1.83,0.50,8.45,1.90,0.30,8.31,1.85
107,1.768,0.37,8.85,1.67,0.51,8.72,1.72,0.32,8.63,1.54
109,1.802,0.39,9.11,1.48,0.52,9.00,1.52,0.34,8.95,1.28
111,1.835,0.42,9.41,1.27,0.51,9.28,1.31,0.36,9.25,1.05
113,1.869,0.45,9.80,0.94,0.51,9.54,1.10,0.39,9.55,0.82
115,1.902,0.46,10.00,0.81,0.51,9.79,0.89,0.41,9.88,0.55
117,1.935,0.48,10.34,0.53,0.50,10.06,0.65,0.45,10.16,0.35
119,1.969,0.51,10.49,0.46,0.49,10.33,0.43,0.49,10.52,0.07
121,2.002,0.54,10.81,0.24,0.46,10.66,0.16,0.53,10.81,-0.15
123,2.035,0.58,11.08,0.05,0.45,10.88,-0.03,0.56,10.87,-0.16
125*,2.069,0.60,11.28,-0.08,0.43,10.98,-0.06,0.60,11.00,-0.22
127*,2.102,0.60,11.30,-0.06,0.42,11.04,-0.06,0.60,10.81,0.01
