Trial:     735,,Trajectory,,Snake ID: 42,,Mass: 83 g,,SVL: 85 cm,,Tail: 29 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,-0.42,1.58,9.81,-0.24,1.23,9.63,0.04,0.81,9.65
3,0.033,-0.45,1.65,9.76,-0.31,1.27,9.61,0.00,0.89,9.64
5,0.067,-0.49,1.72,9.69,-0.39,1.33,9.59,-0.04,0.96,9.63
7,0.100,-0.53,1.79,9.59,-0.46,1.38,9.56,-0.09,1.04,9.61
9,0.133,-0.59,1.87,9.49,-0.53,1.45,9.50,-0.14,1.13,9.57
11,0.167,-0.65,1.93,9.39,-0.60,1.53,9.44,-0.19,1.23,9.50
13,0.200,-0.72,1.98,9.28,-0.67,1.61,9.35,-0.24,1.33,9.42
15,0.234,-0.79,2.03,9.17,-0.73,1.71,9.25,-0.30,1.44,9.32
17,0.267,-0.86,2.08,9.06,-0.78,1.79,9.14,-0.37,1.54,9.22
19,0.300,-0.93,2.12,8.93,-0.83,1.88,9.01,-0.43,1.66,9.10
21,0.334,-1.01,2.18,8.79,-0.87,1.98,8.89,-0.51,1.79,8.96
23,0.367,-1.08,2.25,8.64,-0.91,2.08,8.75,-0.59,1.91,8.82
25,0.400,-1.15,2.33,8.47,-0.95,2.19,8.59,-0.67,2.05,8.66
27,0.434,-1.23,2.43,8.30,-0.99,2.30,8.43,-0.76,2.19,8.50
29,0.467,-1.30,2.53,8.12,-1.04,2.43,8.24,-0.85,2.32,8.31
31,0.501,-1.38,2.64,7.93,-1.10,2.55,8.04,-0.93,2.43,8.14
33,0.534,-1.46,2.77,7.72,-1.16,2.67,7.84,-1.01,2.53,7.97
35,0.567,-1.53,2.90,7.53,-1.23,2.80,7.63,-1.08,2.63,7.81
37,0.601,-1.60,3.03,7.32,-1.29,2.94,7.42,-1.15,2.74,7.61
39,0.634,-1.67,3.16,7.12,-1.35,3.07,7.21,-1.22,2.85,7.42
41,0.667,-1.74,3.29,6.90,-1.42,3.21,6.99,-1.29,2.97,7.21
43,0.701,-1.80,3.42,6.70,-1.48,3.34,6.78,-1.37,3.10,6.97
45,0.734,-1.86,3.56,6.49,-1.56,3.50,6.55,-1.45,3.20,6.76
47,0.767,-1.92,3.70,6.28,-1.64,3.66,6.33,-1.54,3.32,6.52
49,0.801,-1.99,3.86,6.04,-1.72,3.82,6.09,-1.62,3.43,6.29
51,0.834,-2.06,3.99,5.84,-1.82,3.99,5.84,-1.72,3.58,6.02
53,0.868,-2.12,4.15,5.62,-1.91,4.14,5.61,-1.83,3.72,5.76
55,0.901,-2.18,4.31,5.40,-2.02,4.30,5.37,-1.93,3.88,5.48
57,0.934,-2.26,4.50,5.14,-2.12,4.44,5.12,-2.05,4.06,5.18
59,0.968,-2.35,4.66,4.91,-2.24,4.59,4.88,-2.18,4.24,4.90
61,1.001,-2.46,4.83,4.66,-2.35,4.72,4.65,-2.31,4.43,4.63
63,1.034,-2.58,4.99,4.45,-2.46,4.84,4.42,-2.43,4.61,4.38
65,1.068,-2.70,5.17,4.22,-2.58,4.98,4.18,-2.56,4.81,4.11
67,1.101,-2.81,5.33,3.98,-2.72,5.11,3.93,-2.70,5.01,3.85
69,1.134,-2.92,5.46,3.76,-2.86,5.24,3.71,-2.82,5.20,3.63
71,1.168,-3.05,5.61,3.52,-3.03,5.41,3.44,-2.94,5.38,3.43
73,1.201,-3.14,5.69,3.37,-3.17,5.55,3.25,-3.03,5.52,3.25
75,1.235,-3.31,5.93,3.01,-3.31,5.75,3.00,-3.12,5.67,3.04
77,1.268,-3.43,6.04,2.83,-3.43,5.92,2.80,-3.22,5.87,2.81
79,1.301,-3.58,6.19,2.60,-3.56,6.10,2.57,-3.37,6.14,2.51
81,1.335,-3.72,6.33,2.38,-3.70,6.30,2.31,-3.57,6.40,2.23
83,1.368,-3.87,6.48,2.15,-3.81,6.42,2.15,-3.73,6.52,2.05
85,1.401,-4.04,6.65,1.92,-3.95,6.59,1.94,-3.88,6.61,1.88
87,1.435,-4.20,6.79,1.70,-4.08,6.74,1.73,-4.05,6.72,1.66
89,1.468,-4.37,6.92,1.48,-4.22,6.88,1.54,-4.20,6.83,1.48
91,1.502,-4.57,7.09,1.23,-4.37,7.05,1.33,-4.38,7.00,1.15
93,1.535,-4.71,7.16,1.14,-4.53,7.22,1.12,-4.51,7.04,1.06
95,1.568,-4.89,7.29,0.90,-4.69,7.38,0.91,-4.66,7.13,0.84
97,1.602,-5.07,7.41,0.71,-4.89,7.54,0.67,-4.82,7.22,0.65
99,1.635,-5.29,7.60,0.44,-5.07,7.68,0.47,-5.00,7.35,0.41
101,1.668,-5.45,7.68,0.31,-5.25,7.78,0.32,-5.19,7.49,0.19
103,1.702,-5.57,7.70,0.28,-5.42,7.86,0.16,-5.22,7.45,0.28
105*,1.735,-5.59,7.68,0.36,-5.45,7.81,0.28,-5.21,7.45,0.39
107*,1.768,-5.64,7.74,0.38,-5.45,7.73,0.39,-5.16,7.41,0.59
109*,1.802,-5.68,7.75,0.40,-5.48,7.74,0.39,-5.08,7.33,0.81
